onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	2	1	1.376	post.bmp	cost.bmp
4.008000000000003	4.0	5	1	1.461	blackcross.bmp	blackcross.bmp
8.015999999999998	4.4	6	1	1.101	o.bmp	p.bmp
12.424	4.0	3	1	1.288	rum.bmp	numb.bmp
16.432000000000002	4.8	5	1	1.228	blackcross.bmp	blackcross.bmp
21.241999999999997	4.0	6	1	1.081	c.bmp	u.bmp
25.25	4.0	1	1	1.098	fought.bmp	sought.bmp
29.258000000000003	4.0	1	1	1.187	scheme.bmp	theme.bmp
33.265	4.0	6	1	1.055	m.bmp	n.bmp
37.272999999999996	4.4	1	1	1.137	stool.bmp	fool.bmp
41.682	4.4	5	1	1.151	blackcross.bmp	blackcross.bmp
46.090999999999994	4.4	1	1	1.103	soak.bmp	oak.bmp
50.498999999999995	4.4	2	1	1.199	threat.bmp	wheat.bmp
54.908	4.0	1	1	1.59	thread.bmp	spread.bmp
58.916	4.4	3	1	1.26	pile.bmp	trial.bmp
63.325	4.8	4	1	1.294	swap.bmp	watch.bmp
68.134	4.8	5	1	1.488	blackcross.bmp	blackcross.bmp
72.943	4.4	5	1	1.231	blackcross.bmp	blackcross.bmp
77.352	4.4	4	1	0.729	tough.bmp	dull.bmp
81.761	4.8	6	1	1.066	w.bmp	e.bmp
86.57	4.8	1	1	1.064	sweep.bmp	creep.bmp
91.38	4.8	6	1	0.888	k.bmp	t.bmp
96.189	4.4	5	1	1.195	blackcross.bmp	blackcross.bmp
100.59800000000001	4.4	3	1	1.192	stroke.bmp	soak.bmp
105.007	4.4	4	1	1.026	trial.bmp	fall.bmp
109.41499999999999	4.8	6	1	1.108	k.bmp	l.bmp
114.225	4.0	5	1	1.21	blackcross.bmp	blackcross.bmp
118.233	4.4	5	1	1.184	blackcross.bmp	blackcross.bmp
122.64099999999999	4.4	5	1	1.227	blackcross.bmp	blackcross.bmp
127.05000000000001	4.4	5	1	1.339	blackcross.bmp	blackcross.bmp
131.459	4.0	1	1	1.137	beef.bmp	reef.bmp
135.466	4.0	5	1	1.356	blackcross.bmp	blackcross.bmp
139.474	4.8	2	1	1.136	wart.bmp	smart.bmp
144.284	4.8	2	0	1.59	dose.bmp	pose.bmp
149.093	4.4	5	1	1.412	blackcross.bmp	blackcross.bmp
153.502	4.0	2	1	0.76	touch.bmp	couch.bmp
157.51	4.0	6	1	0.788	v.bmp	m.bmp
161.518	4.8	5	1	1.188	blackcross.bmp	blackcross.bmp
166.327	4.8	5	1	1.125	blackcross.bmp	blackcross.bmp
171.137	4.4	5	1	1.101	blackcross.bmp	blackcross.bmp
175.545	4.0	5	1	1.246	blackcross.bmp	blackcross.bmp
179.553	4.8	5	1	1.339	blackcross.bmp	blackcross.bmp
184.363	4.4	4	1	1.048	port.bmp	warm.bmp
188.771	4.8	3	1	1.096	june.bmp	noon.bmp
193.581	4.4	4	1	1.236	wreath.bmp	leap.bmp
197.989	4.0	5	1	1.155	blackcross.bmp	blackcross.bmp
201.997	4.4	6	1	1.052	c.bmp	d.bmp
206.406	4.4	2	1	0.925	glove.bmp	stove.bmp
210.815	4.8	1	1	1.316	numb.bmp	crumb.bmp
215.624	4.8	2	1	1.084	stood.bmp	flood.bmp
220.434	4.4	6	1	1.108	i.bmp	j.bmp
224.84199999999998	4.8	4	1	0.709	smart.bmp	drought.bmp
229.652	4.4	3	1	0.879	stir.bmp	blur.bmp
234.06	4.4	5	1	1.218	blackcross.bmp	blackcross.bmp
238.469	4.8	5	1	1.313	blackcross.bmp	blackcross.bmp
243.279	4.8	2	0	1.045	pool.bmp	wool.bmp
248.08800000000002	4.0	5	1	1.095	blackcross.bmp	blackcross.bmp
252.096	4.4	5	1	1.114	blackcross.bmp	blackcross.bmp
256.505	4.4	2	1	1.082	fought.bmp	drought.bmp
260.913	4.0	3	1	1.206	flight.bmp	spite.bmp
264.921	4.4	3	1	1.029	scheme.bmp	cream.bmp
269.33	4.0	6	1	0.995	z.bmp	g.bmp
273.338	4.8	4	1	1.211	ghost.bmp	pose.bmp
278.147	4.4	5	1	1.101	blackcross.bmp	blackcross.bmp
282.556	4.0	4	1	1.09	grace.bmp	fence.bmp
286.564	4.0	4	1	1.149	dried.bmp	stood.bmp
290.572	4.0	4	1	1.163	ford.bmp	rod.bmp
294.579	4.4	1	1	1.058	strap.bmp	gap.bmp
298.988	4.8	6	1	1.223	e.bmp	f.bmp
303.798	4.0	5	1	1.25	blackcross.bmp	blackcross.bmp
307.806	4.0	4	1	1.564	gross.bmp	post.bmp
311.813	4.0	4	1	1.116	fault.bmp	note.bmp
315.821	4.8	1	1	1.062	bull.bmp	full.bmp
320.631	4.8	3	0	1.449	chase.bmp	grace.bmp
325.44	4.0	3	1	1.18	float.bmp	note.bmp
329.448	4.8	3	1	1.147	bride.bmp	dried.bmp
334.258	4.8	4	1	1.087	thief.bmp	plead.bmp
339.067	4.4	1	1	1.251	bluff.bmp	puff.bmp
343.476	4.8	6	1	1.143	v.bmp	w.bmp
348.285	4.8	1	1	1.072	shove.bmp	glove.bmp
353.095	4.4	6	1	1.355	y.bmp	o.bmp
357.503	4.8	2	1	1.139	stamp.bmp	swamp.bmp
362.313	4.4	4	1	1.753	stamp.bmp	tomb.bmp
366.721	4.0	5	1	1.157	blackcross.bmp	blackcross.bmp
