onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	1.184	flirk.wav	slirk.wav
4.018999999999998	4.4	2	1	0.817	creath.wav	steath.wav
8.453000000000003	4.4	3	1	0.905	glutch.wav	nuch.wav
12.872	4.0	3	1	0.683	poat.wav	wote.wav
16.891000000000005	4.8	5	1	1.038	lackcross.wav	lackcross.wav
21.698	4.8	5	1	1.055	lackcross.wav	lackcross.wav
26.505000000000003	4.8	5	1	1.029	lackcross.wav	lackcross.wav
31.312000000000005	4.8	5	1	1.063	lackcross.wav	lackcross.wav
36.11900000000001	4.4	5	1	1.032	lackcross.wav	lackcross.wav
40.53900000000001	4.8	6	1	0.934	t.wav	u.wav
45.346	4.4	6	1	0.938	c.wav	d.wav
49.779	4.8	3	1	0.952	splirt.wav	furt.wav
54.586000000000006	4.8	5	1	1.033	lackcross.wav	lackcross.wav
59.406	4.0	2	0	1.007	crove.wav	swove.wav
63.425000000000004	4.4	6	1	0.674	v.wav	w.wav
67.832	4.8	6	1	0.837	k.wav	t.wav
72.66499999999999	4.4	3	1	0.738	brunge.wav	skonge.wav
77.08500000000001	4.4	3	1	0.966	twapse.wav	praps.wav
81.505	4.0	4	1	0.883	drose.wav	crange.wav
85.537	4.0	3	1	1.374	mense.wav	shence.wav
89.55699999999999	4.8	5	1	1.091	lackcross.wav	lackcross.wav
94.37699999999998	4.0	4	1	0.969	blease.wav	seaf.wav
98.39599999999999	4.4	1	1	0.826	twide.wav	stide.wav
102.816	4.4	5	1	1.075	lackcross.wav	lackcross.wav
107.23499999999999	4.0	1	1	0.804	pritz.wav	vitz.wav
111.255	4.8	5	1	1.077	lackcross.wav	lackcross.wav
116.088	4.0	2	1	0.836	spomb.wav	clomb.wav
120.107	4.0	5	1	1.148	lackcross.wav	lackcross.wav
124.12699999999998	4.0	6	1	0.928	a.wav	b.wav
128.146	4.4	4	1	0.956	smow.wav	vomb.wav
132.565	4.0	3	1	0.823	yeal.wav	sheel.wav
136.59799999999998	4.8	4	0	1.73	vead.wav	slood.wav
141.418	4.4	3	1	1.238	rith.wav	nyth.wav
145.851	4.8	1	1	1.076	crelm.wav	melm.wav
150.672	4.8	3	1	0.937	kreens.wav	speans.wav
155.492	4.4	4	1	0.677	palve.wav	smove.wav
159.912	4.4	1	1	1.046	sprune.wav	yune.wav
164.345	4.0	2	0	1.084	sworth.wav	horth.wav
168.364	4.0	2	1	1.366	slange.wav	prange.wav
172.396	4.4	1	1	0.838	vearn.wav	glearn.wav
176.816	4.8	2	1	1.824	zalve.wav	walve.wav
181.623	4.4	5	1	1.049	lackcross.wav	lackcross.wav
186.043	4.0	5	1	1.125	lackcross.wav	lackcross.wav
190.06199999999998	4.8	1	1	1.041	sterb.wav	cherb.wav
194.869	4.4	5	1	1.013	lackcross.wav	lackcross.wav
199.289	4.8	5	1	1.067	lackcross.wav	lackcross.wav
204.096	4.4	6	1	0.862	l.wav	d.wav
208.515	4.4	1	1	0.804	yoat.wav	zoat.wav
212.935	4.0	1	1	1.076	zite.wav	pite.wav
216.968	4.0	3	1	0.942	dite.wav	vight.wav
220.987	4.4	5	1	1.097	lackcross.wav	lackcross.wav
225.42	4.4	2	1	1.176	clease.wav	prease.wav
229.826	4.8	6	1	0.695	m.wav	n.wav
234.66	4.8	2	1	0.844	vose.wav	plose.wav
239.467	4.4	5	1	1.131	lackcross.wav	lackcross.wav
243.88699999999997	4.0	2	1	0.944	zow.wav	shrow.wav
247.90599999999998	4.8	6	1	0.712	y.wav	o.wav
252.739	4.4	2	1	1.099	slour.wav	vour.wav
257.15900000000005	4.0	4	1	1.25	splour.wav	morth.wav
261.178	4.8	2	1	1.292	tood.wav	plood.wav
265.999	4.0	2	1	0.916	twarf.wav	starf.wav
270.01800000000003	4.0	6	1	0.89	r.wav	s.wav
274.03700000000003	4.0	4	0	0.809	glough.wav	vown.wav
278.057	4.8	3	1	1.13	shrune.wav	hoon.wav
282.863	4.4	5	1	1.022	lackcross.wav	lackcross.wav
287.283	4.4	5	1	1.088	lackcross.wav	lackcross.wav
291.689	4.8	5	1	1.099	lackcross.wav	lackcross.wav
296.49600000000004	4.8	6	1	1.034	a.wav	s.wav
301.33000000000004	4.8	1	1	1.14	twirt.wav	stirt.wav
306.15000000000003	4.0	1	1	1.035	plipt.wav	bipt.wav
310.182	4.8	1	1	0.873	brith.wav	spith.wav
315.00300000000004	4.0	1	1	0.931	zurf.wav	hurf.wav
319.02200000000005	4.8	3	1	0.943	britz.wav	swits.wav
323.84200000000004	4.8	2	1	0.744	nouth.wav	scouth.wav
328.649	4.0	6	1	0.972	w.wav	e.wav
332.668	4.8	3	1	0.905	plirk.wav	swerk.wav
337.48900000000003	4.8	1	1	1.14	snerge.wav	gerge.wav
342.309	4.4	2	1	1.016	meaf.wav	teaf.wav
346.72900000000004	4.8	4	1	0.993	learth.wav	plost.wav
351.562	4.4	4	1	0.808	pread.wav	slear.wav
355.982	4.4	5	1	1.124	lackcross.wav	lackcross.wav
360.40200000000004	4.0	4	1	1.168	quarf.wav	ralve.wav
364.434	4.0	4	1	1.056	shwarp.wav	larm.wav
368.45300000000003	4.0	6	1	0.83	o.wav	p.wav
