onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	0.624	i.bmp	r.bmp
4.810000000000002	4.8	3	1	0.692	nuss.bmp	zus.bmp
9.619000000000007	4.4	3	1	0.747	slearn.bmp	zurn.bmp
14.028000000000006	4.0	3	1	1.22	plirk.bmp	swerk.bmp
18.036	4.0	3	1	0.893	pault.bmp	zalt.bmp
22.044000000000004	4.4	6	1	0.448	a.bmp	b.bmp
26.453000000000003	4.0	6	0	0.714	e.bmp	f.bmp
30.461000000000006	4.0	4	0	0.718	kearth.bmp	geath.bmp
34.467999999999996	4.8	4	1	0.873	preath.bmp	shworth.bmp
39.278	4.0	1	1	0.814	speal.bmp	cheal.bmp
43.28600000000001	4.8	5	1	1.172	blackcross.bmp	blackcross.bmp
48.096	4.4	6	1	0.6	w.bmp	e.bmp
52.504	4.4	2	0	0.745	crove.bmp	swove.bmp
56.913000000000004	4.4	3	1	0.847	dite.bmp	vight.bmp
61.32200000000001	4.0	2	1	0.804	creath.bmp	steath.bmp
65.33000000000001	4.0	3	1	1.014	kreens.bmp	speans.bmp
69.338	4.0	5	1	1.111	blackcross.bmp	blackcross.bmp
73.346	4.0	5	1	1.215	blackcross.bmp	blackcross.bmp
77.35400000000001	4.4	5	1	1.252	blackcross.bmp	blackcross.bmp
81.762	4.4	4	1	0.712	pread.bmp	slear.bmp
86.17099999999999	4.4	3	1	0.961	mide.bmp	nied.bmp
90.58000000000001	4.8	6	1	0.624	z.bmp	g.bmp
95.38900000000001	4.8	3	1	1.008	mense.bmp	shence.bmp
100.19900000000001	4.4	2	0	0.635	snull.bmp	chull.bmp
104.608	4.0	1	1	0.754	zite.bmp	pite.bmp
108.61600000000001	4.8	1	1	0.67	plapse.bmp	dapse.bmp
113.42500000000001	4.0	1	1	0.775	slutch.bmp	putch.bmp
117.43300000000002	4.0	5	1	1.462	blackcross.bmp	blackcross.bmp
121.441	4.0	5	1	1.228	blackcross.bmp	blackcross.bmp
125.44900000000001	4.0	5	1	1.264	blackcross.bmp	blackcross.bmp
129.45700000000002	4.8	2	0	0.775	nouth.bmp	scouth.bmp
134.26600000000002	4.4	6	1	1.171	y.bmp	o.bmp
138.675	4.8	3	1	0.682	splirt.bmp	furt.bmp
143.485	4.0	6	1	0.487	v.bmp	w.bmp
147.49300000000002	4.8	5	1	1.153	blackcross.bmp	blackcross.bmp
152.30200000000002	4.8	3	1	0.897	durf.bmp	merf.bmp
157.11200000000002	4.4	1	1	0.942	punge.bmp	crunge.bmp
161.52	4.8	5	1	1.319	blackcross.bmp	blackcross.bmp
166.33	4.8	5	1	1.133	blackcross.bmp	blackcross.bmp
171.14000000000001	4.8	5	1	1.119	blackcross.bmp	blackcross.bmp
175.949	4.0	5	1	1.511	blackcross.bmp	blackcross.bmp
179.95700000000002	4.8	5	1	1.295	blackcross.bmp	blackcross.bmp
184.76700000000002	4.0	2	1	1.328	twear.bmp	zear.bmp
188.774	4.4	1	1	0.68	pritz.bmp	vitz.bmp
193.18300000000002	4.0	2	0	0.751	spomb.bmp	clomb.bmp
197.191	4.8	1	0	0.899	snerge.bmp	gerge.bmp
202.001	4.8	5	1	1.106	blackcross.bmp	blackcross.bmp
