onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	2	0	0.965	slour.bmp	vour.bmp
4.007999999999999	4.0	5	1	1.419	blackcross.bmp	blackcross.bmp
8.016000000000002	4.0	6	1	1.21	a.bmp	s.bmp
12.024000000000004	4.0	3	0	2.437	reash.bmp	sliche.bmp
16.032	4.4	5	0	n/a	blackcross.bmp	blackcross.bmp
20.441	4.4	6	1	1.284	i.bmp	j.bmp
24.849	4.4	1	1	1.599	treens.bmp	smeens.bmp
29.258	4.4	1	1	1.148	vuss.bmp	duss.bmp
33.667	4.8	6	0	2.385	f.bmp	n.bmp
38.476	4.8	1	1	1.624	zurf.bmp	hurf.bmp
43.286	4.8	5	1	2.719	blackcross.bmp	blackcross.bmp
48.095	4.8	1	1	1.43	crelm.bmp	melm.bmp
52.903999999999996	4.0	2	0	1.305	clease.bmp	prease.bmp
56.91199999999999	4.0	1	1	1.051	twirt.bmp	stirt.bmp
60.92	4.4	3	1	1.355	slurl.bmp	dirl.bmp
65.329	4.4	4	1	1.306	blease.bmp	seaf.bmp
69.738	4.4	5	1	1.366	blackcross.bmp	blackcross.bmp
74.146	4.8	5	1	1.806	blackcross.bmp	blackcross.bmp
78.956	4.8	4	1	0.862	quarf.bmp	ralve.bmp
83.765	4.8	6	1	2.806	m.bmp	n.bmp
88.575	4.8	1	0	1.633	clurl.bmp	turl.bmp
93.384	4.8	6	1	1.54	r.bmp	s.bmp
98.19399999999999	4.0	5	0	n/a	blackcross.bmp	blackcross.bmp
102.201	4.0	3	1	1.373	brunge.bmp	skonge.bmp
106.209	4.0	4	1	1.015	strough.bmp	wouth.bmp
110.21699999999998	4.4	6	1	1.856	l.bmp	d.bmp
114.626	4.4	5	0	n/a	blackcross.bmp	blackcross.bmp
119.035	4.4	5	1	0.264	blackcross.bmp	blackcross.bmp
123.44300000000001	4.4	5	1	1.601	blackcross.bmp	blackcross.bmp
127.852	4.8	5	1	1.346	blackcross.bmp	blackcross.bmp
132.661	4.8	1	1	1.182	crense.bmp	nense.bmp
137.471	4.8	5	0	n/a	blackcross.bmp	blackcross.bmp
142.28	4.0	2	0	1.206	twough.bmp	drough.bmp
146.288	4.0	2	0	1.119	twarf.bmp	starf.bmp
150.296	4.0	5	0	n/a	blackcross.bmp	blackcross.bmp
154.304	4.0	2	0	2.236	meaf.bmp	teaf.bmp
158.312	4.0	6	1	0.436	t.bmp	u.bmp
162.32	4.4	5	1	1.291	blackcross.bmp	blackcross.bmp
166.728	4.4	5	0	n/a	blackcross.bmp	blackcross.bmp
171.137	4.4	5	1	1.474	blackcross.bmp	blackcross.bmp
175.546	4.4	5	1	2.258	blackcross.bmp	blackcross.bmp
179.954	4.4	5	1	1.334	blackcross.bmp	blackcross.bmp
184.363	4.8	4	1	0.798	vood.bmp	shase.bmp
189.173	4.8	3	1	1.423	glutch.bmp	nuch.bmp
193.982	4.8	4	1	0.844	plange.bmp	jase.bmp
198.791	4.8	5	1	1.356	blackcross.bmp	blackcross.bmp
203.601	4.0	6	1	1.414	c.bmp	u.bmp
207.609	4.4	2	0	1.406	slange.bmp	prange.bmp
212.017	4.0	1	1	2.397	vearn.bmp	glearn.bmp
216.025	4.0	2	0	2.408	zalve.bmp	walve.bmp
220.033	4.0	6	1	1.897	j.bmp	b.bmp
224.041	4.0	4	1	0.91	sharf.bmp	twove.bmp
228.04899999999998	4.0	3	1	1.73	chelm.bmp	swealm.bmp
232.05700000000002	4.0	5	0	n/a	blackcross.bmp	blackcross.bmp
236.065	4.0	5	0	0.205	blackcross.bmp	blackcross.bmp
240.07299999999998	4.4	2	0	1.616	plown.bmp	rown.bmp
244.481	4.4	5	0	n/a	blackcross.bmp	blackcross.bmp
248.89	4.4	5	1	1.795	blackcross.bmp	blackcross.bmp
253.29899999999998	4.4	2	0	1.445	glead.bmp	jead.bmp
257.707	4.4	3	0	n/a	shrune.bmp	hoon.bmp
262.116	4.4	3	0	n/a	pript.bmp	shrypt.bmp
266.525	4.4	6	1	0.862	g.bmp	h.bmp
270.933	4.4	4	1	1.187	splour.bmp	morth.bmp
275.342	4.4	5	1	2.07	blackcross.bmp	blackcross.bmp
279.751	4.4	4	1	1.255	learth.bmp	plost.bmp
284.159	4.8	4	1	1.152	neaf.bmp	shrease.bmp
288.969	4.8	4	0	n/a	scose.bmp	brost.bmp
293.778	4.8	1	1	0.063	plipt.bmp	bipt.bmp
298.588	4.8	6	1	1.435	o.bmp	p.bmp
303.397	4.8	5	0	n/a	blackcross.bmp	blackcross.bmp
308.207	4.8	4	0	n/a	spouth.bmp	zull.bmp
313.016	4.0	4	0	n/a	drose.bmp	crange.bmp
317.024	4.0	1	0	n/a	swault.bmp	lault.bmp
321.032	4.0	3	0	n/a	derb.bmp	shurb.bmp
325.04	4.0	3	1	0.669	nerge.bmp	yurge.bmp
329.048	4.4	3	1	0.448	yeal.bmp	sheel.bmp
333.456	4.4	4	1	0.946	glough.bmp	vown.bmp
337.865	4.4	1	1	1.581	twide.bmp	stide.bmp
342.274	4.4	6	1	1.414	c.bmp	d.bmp
346.682	4.8	1	1	1.534	preash.bmp	sleash.bmp
351.492	4.8	6	1	1.62	k.bmp	t.bmp
356.301	4.8	2	0	n/a	zow.bmp	shrow.bmp
361.111	4.8	4	0	n/a	vead.bmp	slood.bmp
365.92	4.8	5	1	1.395	blackcross.bmp	blackcross.bmp
