onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	0	1.378	flirk.wav	slirk.wav
4.018999999999998	4.4	2	1	0.782	creath.wav	steath.wav
8.439	4.4	3	1	0.968	glutch.wav	nuch.wav
12.857999999999997	4.0	3	1	0.801	poat.wav	wote.wav
16.876999999999995	4.8	5	1	1.577	lackcross.wav	lackcross.wav
21.683999999999997	4.8	5	1	1.197	lackcross.wav	lackcross.wav
26.491999999999997	4.8	5	1	1.061	lackcross.wav	lackcross.wav
31.299	4.8	5	1	1.289	lackcross.wav	lackcross.wav
36.105	4.4	5	1	1.322	lackcross.wav	lackcross.wav
40.525000000000006	4.8	6	1	1.12	t.wav	u.wav
45.345	4.4	6	1	1.077	c.wav	d.wav
49.765	4.8	3	0	1.202	splirt.wav	furt.wav
54.584999999999994	4.8	5	1	1.35	lackcross.wav	lackcross.wav
59.391999999999996	4.0	2	1	0.878	crove.wav	swove.wav
63.411	4.4	6	1	0.785	v.wav	w.wav
67.831	4.8	6	1	0.775	k.wav	t.wav
72.651	4.4	3	1	0.777	brunge.wav	skonge.wav
77.071	4.4	3	1	0.781	twapse.wav	praps.wav
81.491	4.0	4	1	1.046	drose.wav	crange.wav
85.51	4.0	3	1	1.035	mense.wav	shence.wav
89.529	4.8	5	1	2.307	lackcross.wav	lackcross.wav
94.349	4.0	4	1	1.176	blease.wav	seaf.wav
98.368	4.4	1	1	0.926	twide.wav	stide.wav
102.78800000000001	4.4	5	1	1.226	lackcross.wav	lackcross.wav
107.208	4.0	1	1	1.06	pritz.wav	vitz.wav
111.227	4.8	5	1	1.307	lackcross.wav	lackcross.wav
116.047	4.0	2	1	0.951	spomb.wav	clomb.wav
120.066	4.0	5	1	1.292	lackcross.wav	lackcross.wav
124.08600000000001	4.0	6	1	2.713	a.wav	b.wav
128.105	4.4	4	1	0.93	smow.wav	vomb.wav
132.512	4.0	3	1	0.824	yeal.wav	sheel.wav
136.53	4.8	4	0	0.761	vead.wav	slood.wav
141.338	4.4	3	0	0.903	rith.wav	nyth.wav
145.757	4.8	1	0	0.974	crelm.wav	melm.wav
150.564	4.8	3	1	0.881	kreens.wav	speans.wav
155.371	4.4	4	1	0.728	palve.wav	smove.wav
159.79	4.4	1	0	1.189	sprune.wav	yune.wav
164.21	4.0	2	0	1.138	sworth.wav	horth.wav
168.22899999999998	4.0	2	0	0.824	slange.wav	prange.wav
172.248	4.4	1	1	0.915	vearn.wav	glearn.wav
176.668	4.8	2	1	1.017	zalve.wav	walve.wav
181.488	4.4	5	1	1.142	lackcross.wav	lackcross.wav
185.908	4.0	5	1	1.193	lackcross.wav	lackcross.wav
189.927	4.8	1	0	1.428	sterb.wav	cherb.wav
194.734	4.4	5	1	2.077	lackcross.wav	lackcross.wav
199.154	4.8	5	1	1.136	lackcross.wav	lackcross.wav
203.974	4.4	6	1	0.82	l.wav	d.wav
208.394	4.4	1	0	n/a	yoat.wav	zoat.wav
212.814	4.0	1	1	0.824	zite.wav	pite.wav
216.833	4.0	3	1	0.714	dite.wav	vight.wav
220.852	4.4	5	1	1.106	lackcross.wav	lackcross.wav
225.259	4.4	2	1	0.957	clease.wav	prease.wav
229.678	4.8	6	1	0.824	m.wav	n.wav
234.498	4.8	2	0	1.138	vose.wav	plose.wav
239.305	4.4	5	1	1.131	lackcross.wav	lackcross.wav
243.72500000000002	4.0	2	0	n/a	zow.wav	shrow.wav
247.74399999999997	4.8	6	1	0.598	y.wav	o.wav
252.55200000000002	4.4	2	1	0.682	slour.wav	vour.wav
256.971	4.0	4	0	1.128	splour.wav	morth.wav
260.99	4.8	2	1	0.665	tood.wav	plood.wav
265.797	4.0	2	1	0.81	twarf.wav	starf.wav
269.816	4.0	6	1	1.135	r.wav	s.wav
273.835	4.0	4	0	0.722	glough.wav	vown.wav
277.854	4.8	3	0	0.952	shrune.wav	hoon.wav
282.662	4.4	5	1	1.152	lackcross.wav	lackcross.wav
287.081	4.4	5	1	1.884	lackcross.wav	lackcross.wav
291.488	4.8	5	1	1.178	lackcross.wav	lackcross.wav
296.295	4.8	6	1	0.786	a.wav	s.wav
301.102	4.8	1	0	1.019	twirt.wav	stirt.wav
305.909	4.0	1	0	n/a	plipt.wav	bipt.wav
309.927	4.8	1	1	1.263	brith.wav	spith.wav
314.735	4.0	1	0	n/a	zurf.wav	hurf.wav
318.753	4.8	3	0	1.109	britz.wav	swits.wav
323.561	4.8	2	1	0.872	nouth.wav	scouth.wav
328.368	4.0	6	1	0.704	w.wav	e.wav
332.386	4.8	3	1	1.403	plirk.wav	swerk.wav
337.194	4.8	1	1	1.023	snerge.wav	gerge.wav
342.001	4.4	2	1	0.93	meaf.wav	teaf.wav
346.42	4.8	4	1	0.735	learth.wav	plost.wav
351.227	4.4	4	1	0.855	pread.wav	slear.wav
355.646	4.4	5	1	0.497	lackcross.wav	lackcross.wav
360.066	4.0	4	1	0.795	quarf.wav	ralve.wav
364.085	4.0	4	1	0.728	shwarp.wav	larm.wav
368.104	4.0	6	1	0.722	o.wav	p.wav
