onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	1.011	i.bmp	r.bmp
4.821999999999999	4.8	3	1	0.972	nuss.bmp	zus.bmp
9.659000000000002	4.4	3	1	0.875	slearn.bmp	zurn.bmp
14.093999999999998	4.0	3	1	0.933	plirk.bmp	swerk.bmp
18.115	4.0	3	1	0.787	pault.bmp	zalt.bmp
22.123	4.4	6	1	1.279	a.bmp	b.bmp
26.532	4.0	6	1	1.068	e.bmp	f.bmp
30.553	4.0	4	1	1.282	kearth.bmp	geath.bmp
34.587999999999994	4.8	4	1	1.508	preath.bmp	shworth.bmp
39.45099999999999	4.0	1	1	1.108	speal.bmp	cheal.bmp
43.458	4.8	5	1	0.765	lackcross.bmp	lackcross.bmp
48.268	4.4	6	1	0.972	w.bmp	e.bmp
52.703	4.4	2	0	0.954	crove.bmp	swove.bmp
57.12599999999999	4.4	3	1	1.015	dite.bmp	vight.bmp
61.54899999999999	4.0	2	0	1.323	creath.bmp	steath.bmp
65.569	4.0	3	1	1.927	kreens.bmp	speans.bmp
69.577	4.0	5	1	0.752	lackcross.bmp	lackcross.bmp
73.58399999999999	4.0	5	1	0.815	lackcross.bmp	lackcross.bmp
77.592	4.4	5	1	0.789	lackcross.bmp	lackcross.bmp
82.02799999999999	4.4	4	1	0.967	pread.bmp	slear.bmp
86.47699999999999	4.4	3	1	1.174	mide.bmp	nied.bmp
90.88499999999999	4.8	6	1	1.083	z.bmp	g.bmp
95.695	4.8	3	1	1.011	mense.bmp	shence.bmp
100.50399999999999	4.4	2	0	1.104	snull.bmp	chull.bmp
104.94	4.0	1	1	1.072	zite.bmp	pite.bmp
108.97399999999999	4.8	1	1	1.242	plapse.bmp	dapse.bmp
113.81	4.0	1	0	1.646	slutch.bmp	putch.bmp
117.81799999999998	4.0	5	1	0.805	lackcross.bmp	lackcross.bmp
121.826	4.0	5	1	0.809	lackcross.bmp	lackcross.bmp
125.834	4.0	5	1	0.735	lackcross.bmp	lackcross.bmp
129.869	4.8	2	0	1.07	nouth.bmp	scouth.bmp
134.678	4.4	6	1	1.008	y.bmp	o.bmp
139.1	4.8	3	1	1.088	splirt.bmp	furt.bmp
143.91	4.0	6	1	0.87	v.bmp	w.bmp
147.918	4.8	5	1	0.992	lackcross.bmp	lackcross.bmp
152.754	4.8	3	1	1.016	durf.bmp	merf.bmp
157.579	4.4	1	1	0.973	punge.bmp	crunge.bmp
161.98499999999999	4.8	5	1	0.794	lackcross.bmp	lackcross.bmp
166.795	4.8	5	1	0.904	lackcross.bmp	lackcross.bmp
171.60399999999998	4.8	5	1	0.784	lackcross.bmp	lackcross.bmp
176.414	4.0	5	1	0.843	lackcross.bmp	lackcross.bmp
180.422	4.8	5	1	0.877	lackcross.bmp	lackcross.bmp
185.258	4.0	2	0	1.024	twear.bmp	zear.bmp
189.279	4.4	1	1	0.986	pritz.bmp	vitz.bmp
193.715	4.0	2	0	0.709	spomb.bmp	clomb.bmp
197.749	4.8	1	1	0.993	snerge.bmp	gerge.bmp
202.559	4.8	5	1	1.024	lackcross.bmp	lackcross.bmp
207.368	4.4	6	1	1.132	v.bmp	m.bmp
211.804	4.8	4	1	1.321	shwarp.bmp	larm.bmp
216.64	4.0	2	0	1.303	larp.bmp	swarp.bmp
220.648	4.8	6	1	1.18	k.bmp	l.bmp
225.484	4.0	4	1	1.07	sull.bmp	trow.bmp
229.518	4.4	3	1	1.344	rith.bmp	nyth.bmp
233.954	4.4	4	1	1.102	palve.bmp	smove.bmp
238.378	4.0	2	0	1.019	shwarm.bmp	varm.bmp
242.411	4.0	4	1	0.941	zarp.bmp	twarm.bmp
246.418	4.8	5	1	0.947	lackcross.bmp	lackcross.bmp
251.255	4.8	4	1	1.698	glown.bmp	stomb.bmp
256.064	4.0	5	1	0.975	lackcross.bmp	lackcross.bmp
260.099	4.4	2	0	1.168	nearth.bmp	fearth.bmp
264.534	4.4	1	1	1.046	flirk.bmp	slirk.bmp
268.957	4.8	3	1	1.463	poat.bmp	wote.bmp
273.792	4.4	4	1	1.014	smow.bmp	vomb.bmp
278.201	4.4	5	1	0.814	lackcross.bmp	lackcross.bmp
282.61	4.0	3	1	1.287	twapse.bmp	praps.bmp
286.618	4.4	5	1	0.74	lackcross.bmp	lackcross.bmp
291.053	4.8	2	0	1.428	vose.bmp	plose.bmp
295.862	4.0	6	1	0.998	y.bmp	z.bmp
299.897	4.4	2	0	1.138	sworth.bmp	horth.bmp
304.306	4.4	5	1	0.939	lackcross.bmp	lackcross.bmp
308.741	4.8	4	1	1.199	plear.bmp	zour.bmp
313.577	4.4	2	1	1.821	tood.bmp	plood.bmp
318.013	4.4	1	1	1.2	sprune.bmp	yune.bmp
322.421	4.0	6	1	0.989	h.bmp	p.bmp
326.443	4.8	1	1	1.104	sterb.bmp	cherb.bmp
331.267	4.0	3	1	1.182	britz.bmp	swits.bmp
335.27299999999997	4.4	5	1	0.95	lackcross.bmp	lackcross.bmp
339.709	4.0	2	1	1.378	shrase.bmp	flase.bmp
343.743	4.0	1	0	1.36	brith.bmp	spith.bmp
347.751	4.8	5	1	0.827	lackcross.bmp	lackcross.bmp
352.561	4.4	5	1	0.885	lackcross.bmp	lackcross.bmp
356.996	4.8	1	1	1.093	yoat.bmp	zoat.bmp
361.819	4.8	2	0	0.99	grost.bmp	nost.bmp
366.629	5.2	5	0	n/a	lackcross.bmp	lackcross.bmp
