onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	5	1	1.38	lackcross.wav	lackcross.wav
4.82	4.4	2	1	0.783	twough.wav	drough.wav
9.239999999999998	5.2	2	0	n/a	shwarm.wav	varm.wav
14.448000000000004	4.4	4	1	0.988	plange.wav	jase.wav
18.854000000000003	4.4	5	1	1.476	lackcross.wav	lackcross.wav
23.273999999999997	4.0	5	1	1.177	lackcross.wav	lackcross.wav
27.293000000000003	4.8	5	1	1.23	lackcross.wav	lackcross.wav
32.099999999999994	4.4	5	1	1.104	lackcross.wav	lackcross.wav
36.507000000000005	4.0	5	1	1.116	lackcross.wav	lackcross.wav
40.539	4.8	4	1	0.702	neaf.wav	shrease.wav
45.346000000000004	4.0	6	1	1.18	i.wav	r.wav
49.36500000000001	4.8	4	1	1.229	spouth.wav	zull.wav
54.17200000000001	4.0	4	1	0.929	zarp.wav	twarm.wav
58.191	4.4	5	1	1.118	lackcross.wav	lackcross.wav
62.611000000000004	4.0	2	0	1.799	snull.wav	chull.wav
66.63000000000001	4.0	5	1	1.332	lackcross.wav	lackcross.wav
70.649	4.0	6	1	1.19	i.wav	j.wav
74.682	4.0	1	0	0.811	plapse.wav	dapse.wav
78.70100000000001	4.8	2	1	1.447	grost.wav	nost.wav
83.521	4.4	4	1	0.945	vood.wav	shase.wav
87.941	4.4	4	1	0.994	glown.wav	stomb.wav
92.348	4.8	2	1	0.91	glead.wav	jead.wav
97.155	4.4	6	1	0.686	f.wav	n.wav
101.574	4.0	4	1	1.189	strough.wav	wouth.wav
105.593	4.8	5	1	1.44	lackcross.wav	lackcross.wav
110.414	4.4	2	0	2.02	nearth.wav	fearth.wav
114.83300000000001	4.4	1	1	0.831	crense.wav	nense.wav
119.253	4.0	5	1	1.509	lackcross.wav	lackcross.wav
123.272	4.0	1	1	1.118	treens.wav	smeens.wav
127.29100000000001	4.0	5	1	1.472	lackcross.wav	lackcross.wav
131.31	4.8	4	1	1.23	sharf.wav	twove.wav
136.117	4.0	6	1	0.866	g.wav	h.wav
140.136	4.4	1	1	1.417	swault.wav	lault.wav
144.55599999999998	4.0	5	1	1.119	lackcross.wav	lackcross.wav
148.575	4.4	6	1	0.88	e.wav	f.wav
152.99499999999998	4.0	5	1	1.18	lackcross.wav	lackcross.wav
157.028	4.0	3	1	0.972	mide.wav	nied.wav
161.047	4.4	5	1	1.345	lackcross.wav	lackcross.wav
165.453	4.0	1	1	1.324	slutch.wav	putch.wav
169.47199999999998	4.4	1	0	1.815	speal.wav	cheal.wav
173.892	4.0	3	0	0.924	pript.wav	shrypt.wav
177.911	4.0	5	1	1.467	lackcross.wav	lackcross.wav
181.92999999999998	4.4	5	1	1.275	lackcross.wav	lackcross.wav
186.35	4.0	5	1	1.376	lackcross.wav	lackcross.wav
190.369	4.0	5	1	1.099	lackcross.wav	lackcross.wav
194.38799999999998	4.4	5	1	1.144	lackcross.wav	lackcross.wav
198.808	4.4	3	1	1.055	durf.wav	merf.wav
203.22799999999998	4.8	6	1	1.029	c.wav	u.wav
208.035	4.8	5	1	1.304	lackcross.wav	lackcross.wav
212.84199999999998	4.4	4	1	1.54	scose.wav	brost.wav
217.249	4.8	3	1	1.412	reash.wav	sliche.wav
222.05599999999998	4.8	3	1	1.405	derb.wav	shurb.wav
226.863	4.8	2	0	1.027	shrase.wav	flase.wav
231.682	4.0	6	1	1.409	h.wav	p.wav
235.702	4.4	6	1	1.019	z.wav	g.wav
240.12099999999998	4.4	3	1	1.809	chelm.wav	swealm.wav
244.541	4.0	5	1	1.533	lackcross.wav	lackcross.wav
248.574	4.0	3	1	1.417	slearn.wav	zurn.wav
252.59300000000002	4.4	3	1	1.315	slurl.wav	dirl.wav
256.99899999999997	4.0	5	1	1.237	lackcross.wav	lackcross.wav
261.018	4.8	6	1	1.596	k.wav	l.wav
265.839	4.4	2	1	1.14	larp.wav	swarp.wav
270.258	4.4	1	1	0.984	vuss.wav	duss.wav
274.678	4.4	6	1	1.051	j.wav	b.wav
279.098	4.8	3	0	1.425	pault.wav	zalt.wav
283.905	4.8	5	1	1.486	lackcross.wav	lackcross.wav
288.712	4.0	5	1	1.312	lackcross.wav	lackcross.wav
292.731	4.4	2	1	1.04	plown.wav	rown.wav
297.151	4.8	6	1	1.011	v.wav	m.wav
301.971	4.4	4	1	1.63	kearth.wav	geath.wav
306.39099999999996	4.4	6	1	1.055	y.wav	z.wav
310.79699999999997	4.8	5	1	1.158	lackcross.wav	lackcross.wav
315.61699999999996	4.0	3	0	1.189	nuss.wav	zus.wav
319.637	4.4	3	1	1.48	nerge.wav	yurge.wav
324.07	5.2	4	0	n/a	sull.wav	trow.wav
329.277	4.8	1	1	0.772	preash.wav	sleash.wav
334.085	4.8	1	1	1.303	clurl.wav	turl.wav
338.892	4.4	2	0	1.939	twear.wav	zear.wav
343.311	4.8	4	1	0.936	preath.wav	shworth.wav
348.118	4.8	4	1	0.961	plear.wav	zour.wav
352.925	4.0	5	1	1.433	lackcross.wav	lackcross.wav
356.944	4.4	5	1	1.149	lackcross.wav	lackcross.wav
361.364	4.8	5	1	1.321	lackcross.wav	lackcross.wav
366.171	5.2	1	0	n/a	punge.wav	crunge.wav
