onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	5	1	1.288	lackcross.wav	lackcross.wav
4.810000000000002	4.4	2	1	0.784	post.wav	cost.wav
9.219000000000001	5.2	2	0	n/a	smooth.wav	tooth.wav
14.442	4.4	4	1	0.958	swap.wav	watch.wav
18.851	4.4	5	1	1.284	lackcross.wav	lackcross.wav
23.259999999999998	4.0	5	1	1.36	lackcross.wav	lackcross.wav
27.268	4.8	5	1	1.227	lackcross.wav	lackcross.wav
32.077000000000005	4.4	5	1	1.125	lackcross.wav	lackcross.wav
36.486	4.0	5	1	1.114	lackcross.wav	lackcross.wav
40.49400000000001	4.8	4	1	0.914	thief.wav	plead.wav
45.303000000000004	4.0	6	1	1.177	l.wav	d.wav
49.311	4.8	4	1	1.569	glow.wav	stove.wav
54.121	4.0	4	1	0.93	port.wav	warm.wav
58.129	4.4	5	1	1.436	lackcross.wav	lackcross.wav
62.538000000000004	4.0	2	1	0.972	fought.wav	drought.wav
66.54599999999999	4.0	5	1	1.404	lackcross.wav	lackcross.wav
70.56700000000001	4.0	6	1	1.729	v.wav	w.wav
74.57499999999999	4.0	1	1	0.837	glide.wav	bride.wav
78.583	4.8	2	1	1.119	scratch.wav	watch.wav
83.392	4.4	4	1	0.937	trial.wav	fall.wav
87.80099999999999	4.4	4	0	1.241	wreath.wav	leap.wav
92.237	4.8	2	1	0.98	both.wav	cloth.wav
97.059	4.4	6	1	1.128	r.wav	s.wav
101.46800000000002	4.0	4	0	1.078	grace.wav	fence.wav
105.476	4.8	5	1	2.869	lackcross.wav	lackcross.wav
110.299	4.4	2	0	0.852	pool.wav	wool.wav
114.708	4.4	1	1	0.816	shove.wav	glove.wav
119.11700000000002	4.0	5	1	1.236	lackcross.wav	lackcross.wav
123.15100000000001	4.0	1	1	0.868	scheme.wav	theme.wav
127.15900000000002	4.0	5	1	1.177	lackcross.wav	lackcross.wav
131.19400000000002	4.8	4	1	1.104	cream.wav	swarm.wav
136.00300000000001	4.0	6	1	2.083	k.wav	t.wav
140.025	4.4	1	1	1.199	harm.wav	farm.wav
144.43300000000002	4.0	5	1	1.235	lackcross.wav	lackcross.wav
148.455	4.4	6	0	1.636	i.wav	j.wav
152.863	4.0	5	1	1.213	lackcross.wav	lackcross.wav
156.871	4.0	3	1	0.672	june.wav	noon.wav
160.87900000000002	4.4	5	1	1.184	lackcross.wav	lackcross.wav
165.303	4.0	1	1	0.661	pile.wav	mile.wav
169.323	4.4	1	1	0.862	sweep.wav	creep.wav
173.758	4.0	3	1	0.762	stool.wav	rule.wav
177.76600000000002	4.0	5	1	1.344	lackcross.wav	lackcross.wav
181.774	4.4	5	1	1.264	lackcross.wav	lackcross.wav
186.18300000000002	4.0	5	1	1.125	lackcross.wav	lackcross.wav
190.191	4.0	5	1	1.207	lackcross.wav	lackcross.wav
194.199	4.4	5	1	1.168	lackcross.wav	lackcross.wav
198.607	4.4	3	1	0.892	pile.wav	trial.wav
203.01600000000002	4.8	6	1	1.394	z.wav	g.wav
207.82600000000002	4.8	5	1	1.239	lackcross.wav	lackcross.wav
212.63500000000002	4.4	4	1	1.167	gross.wav	post.wav
217.059	4.8	3	1	0.767	wheel.wav	deal.wav
221.88	4.8	3	1	0.774	flight.wav	spite.wav
226.70499999999998	4.8	2	1	0.817	tomb.wav	comb.wav
231.51300000000003	4.0	6	1	1.456	k.wav	l.wav
235.54700000000003	4.4	6	1	0.831	a.wav	b.wav
239.95600000000002	4.4	3	0	0.759	bluff.wav	tough.wav
244.365	4.0	5	1	1.451	lackcross.wav	lackcross.wav
248.373	4.0	3	1	0.715	chase.wav	grace.wav
252.38100000000003	4.4	3	1	0.845	roast.wav	ghost.wav
256.79	4.0	5	1	1.377	lackcross.wav	lackcross.wav
260.797	4.8	6	1	0.891	w.wav	e.wav
265.607	4.4	2	0	1.08	swarm.wav	harm.wav
270.016	4.4	1	1	0.761	goat.wav	float.wav
274.42400000000004	4.4	6	1	1.389	m.wav	n.wav
278.84700000000004	4.8	3	1	3.408	stir.wav	blur.wav
283.656	4.8	5	1	1.208	lackcross.wav	lackcross.wav
288.466	4.0	5	1	1.223	lackcross.wav	lackcross.wav
292.48900000000003	4.4	2	1	0.886	threat.wav	wheat.wav
296.896	4.8	6	1	1.056	j.wav	b.wav
301.705	4.4	4	1	1.1	youth.wav	hint.wav
306.11400000000003	4.4	6	1	0.861	a.wav	s.wav
310.523	4.8	5	1	1.38	lackcross.wav	lackcross.wav
315.332	4.0	3	1	0.728	quart.wav	port.wav
319.34000000000003	4.4	3	1	0.881	soup.wav	loop.wav
323.749	5.2	4	0	n/a	stamp.wav	tomb.wav
328.959	4.8	1	1	0.685	neat.wav	wheat.wav
333.769	4.8	1	1	0.913	strap.wav	gap.wav
338.57800000000003	4.4	2	1	1.023	dose.wav	pose.wav
342.987	4.8	4	1	1.017	flight.wav	threat.wav
347.797	4.8	4	1	0.986	rule.wav	blur.wav
352.606	4.0	5	1	1.354	lackcross.wav	lackcross.wav
356.61400000000003	4.4	5	1	1.134	lackcross.wav	lackcross.wav
361.023	4.8	5	1	1.078	lackcross.wav	lackcross.wav
365.848	5.2	1	0	n/a	bull.wav	full.wav
