onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	1.195	a.bmp	s.bmp
4.8089999999999975	4.8	3	1	1.302	fall.bmp	crawl.bmp
9.619	4.4	3	1	1.204	leap.bmp	sweep.bmp
14.027000000000001	4.0	3	1	1.863	tense.bmp	fence.bmp
18.035000000000004	4.0	3	1	1.257	soup.bmp	loop.bmp
22.043	4.4	6	1	1.012	j.bmp	b.bmp
26.451999999999998	4.0	6	1	1.19	h.bmp	p.bmp
30.46	4.0	4	1	1.219	pool.bmp	tooth.bmp
34.468	4.8	4	1	1.18	both.bmp	stroke.bmp
39.278000000000006	4.0	1	1	1.128	quart.bmp	wart.bmp
43.286	4.8	5	1	1.378	blackcross.bmp	blackcross.bmp
48.095	4.4	6	1	1.337	a.bmp	b.bmp
52.504000000000005	4.4	2	1	1.34	pint.bmp	hint.bmp
56.913	4.4	3	1	1.19	wheel.bmp	deal.bmp
61.321	4.0	2	1	2.308	smooth.bmp	tooth.bmp
65.329	4.0	3	1	1.454	stool.bmp	rule.bmp
69.337	4.0	5	1	1.667	blackcross.bmp	blackcross.bmp
73.345	4.0	5	1	1.805	blackcross.bmp	blackcross.bmp
77.353	4.4	5	1	1.743	blackcross.bmp	blackcross.bmp
81.762	4.4	4	1	1.419	flight.bmp	threat.bmp
86.171	4.4	3	1	1.34	bluff.bmp	tough.bmp
90.579	4.8	6	1	1.148	i.bmp	r.bmp
95.38900000000001	4.8	3	1	1.169	halt.bmp	fault.bmp
100.19800000000001	4.4	2	1	1.389	dull.bmp	bull.bmp
104.607	4.0	1	1	1.211	brow.bmp	cow.bmp
108.61500000000001	4.8	1	1	1.169	goat.bmp	float.bmp
113.42500000000001	4.0	1	1	1.223	glide.bmp	bride.bmp
117.43299999999999	4.0	5	1	1.374	blackcross.bmp	blackcross.bmp
121.44	4.0	5	1	1.383	blackcross.bmp	blackcross.bmp
125.44800000000001	4.0	5	1	1.661	blackcross.bmp	blackcross.bmp
129.456	4.8	2	1	1.472	plead.bmp	spread.bmp
134.266	4.4	6	0	1.406	t.bmp	u.bmp
138.675	4.8	3	1	1.494	roast.bmp	ghost.bmp
143.484	4.0	6	1	1.371	y.bmp	z.bmp
147.492	4.8	5	1	1.515	blackcross.bmp	blackcross.bmp
152.302	4.8	3	1	1.32	odd.bmp	rod.bmp
157.111	4.4	1	1	1.255	spoon.bmp	noon.bmp
161.52	4.8	5	1	1.576	blackcross.bmp	blackcross.bmp
166.329	4.8	5	1	1.478	blackcross.bmp	blackcross.bmp
171.139	4.8	5	1	1.379	blackcross.bmp	blackcross.bmp
175.949	4.0	5	1	1.388	blackcross.bmp	blackcross.bmp
179.957	4.8	5	1	1.448	blackcross.bmp	blackcross.bmp
184.766	4.0	2	1	1.491	breath.bmp	wreath.bmp
188.774	4.4	1	1	1.298	neat.bmp	wheat.bmp
193.183	4.0	2	1	1.293	mouth.bmp	youth.bmp
197.191	4.8	1	1	1.207	toss.bmp	moss.bmp
202.0	4.8	5	1	1.325	blackcross.bmp	blackcross.bmp
206.81	4.4	6	1	1.255	g.bmp	h.bmp
211.218	4.8	4	1	1.265	rule.bmp	blur.bmp
216.028	4.0	2	1	1.277	tomb.bmp	comb.bmp
220.036	4.8	6	1	1.222	r.bmp	s.bmp
224.84599999999998	4.0	4	1	1.227	june.bmp	loop.bmp
228.85299999999998	4.4	3	0	1.173	warm.bmp	form.bmp
233.26199999999997	4.4	4	1	1.392	rum.bmp	touch.bmp
237.67100000000002	4.0	2	1	1.289	gross.bmp	moss.bmp
241.679	4.0	4	1	1.63	glow.bmp	stove.bmp
245.68699999999998	4.8	5	1	1.213	blackcross.bmp	blackcross.bmp
250.496	4.8	4	1	1.196	wheel.bmp	sneak.bmp
255.306	4.0	5	1	1.357	blackcross.bmp	blackcross.bmp
259.31399999999996	4.4	2	1	1.298	cow.bmp	glow.bmp
263.72299999999996	4.4	1	1	1.229	pile.bmp	mile.bmp
268.131	4.8	3	1	1.322	cheek.bmp	sneak.bmp
272.94100000000003	4.4	4	1	1.401	youth.bmp	hint.bmp
277.35	4.4	5	1	1.387	blackcross.bmp	blackcross.bmp
281.75800000000004	4.0	3	1	1.484	thief.bmp	beef.bmp
285.76599999999996	4.4	5	1	1.137	blackcross.bmp	blackcross.bmp
290.17499999999995	4.8	2	1	1.717	swarm.bmp	harm.bmp
294.985	4.0	6	1	1.612	l.bmp	d.bmp
298.99300000000005	4.4	2	1	1.548	both.bmp	cloth.bmp
303.40099999999995	4.4	5	1	1.409	blackcross.bmp	blackcross.bmp
307.80999999999995	4.8	4	1	1.445	cream.bmp	swarm.bmp
312.62	4.4	2	1	2.004	ford.bmp	word.bmp
317.028	4.4	1	1	1.318	vase.bmp	chase.bmp
321.437	4.0	6	1	1.245	f.bmp	n.bmp
325.44500000000005	4.8	1	1	1.238	flood.bmp	blood.bmp
330.255	4.0	3	0	n/a	quart.bmp	port.bmp
334.26199999999994	4.4	5	1	1.775	blackcross.bmp	blackcross.bmp
338.67100000000005	4.0	2	1	1.319	swap.bmp	gap.bmp
342.679	4.0	1	1	1.169	frost.bmp	cost.bmp
346.687	4.8	5	1	1.481	blackcross.bmp	blackcross.bmp
351.49699999999996	4.4	5	1	1.36	blackcross.bmp	blackcross.bmp
355.905	4.8	1	1	1.105	harm.bmp	farm.bmp
360.71500000000003	4.8	2	1	1.087	scratch.bmp	watch.bmp
365.524	5.2	5	1	1.192	blackcross.bmp	blackcross.bmp
